Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
Boy,2,University,Non Government,0,1,Low,Mid,Wifi,4G,3-6,No,Tab,Moderate
Girl,2,University,Non Government,0,1,High,Mid,Mobile Data,4G,1-3,Yes,Mobile,Moderate
Girl,1,College,Government,0,1,Low,Mid,Wifi,4G,1-3,No,Mobile,Moderate
Girl,1,School,Non Government,0,1,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate
Girl,1,School,Non Government,0,1,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
Boy,1,School,Non Government,0,1,Low,Poor,Mobile Data,3G,1-3,No,Mobile,Low
Boy,1,School,Non Government,0,1,Low,Mid,Wifi,4G,0,No,Mobile,Low
Boy,1,School,Non Government,0,1,Low,Mid,Wifi,4G,1-3,No,Mobile,Moderate
Boy,1,College,Government,0,1,Low,Mid,Wifi,4G,1-3,No,Mobile,Low
Boy,1,School,Non Government,0,1,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate
Girl,1,University,Government,0,1,Low,Mid,Wifi,4G,1-3,No,Mobile,Low
Girl,1,College,Non Government,0,1,Low,Mid,Wifi,4G,1-3,No,Mobile,Low
Boy,1,School,Non Government,1,1,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate
Girl,1,College,Non Government,0,0,Low,Mid,Wifi,4G,1-3,No,Mobile,Low
Girl,1,School,Non Government,0,1,Low,Poor,Mobile Data,3G,1-3,No,Mobile,Moderate
Boy,1,School,Non Government,0,1,High,Poor,Wifi,4G,1-3,No,Mobile,Low
Girl,2,University,Government,1,1,Low,Poor,Mobile Data,4G,0,No,Computer,Low
Girl,2,University,Government,0,0,Low,Mid,Wifi,4G,1-3,No,Mobile,Low
Girl,1,College,Non Government,0,1,High,Mid,Wifi,4G,1-3,No,Mobile,Low
Girl,1,College,Non Government,0,1,High,Mid,Wifi,4G,3-6,No,Mobile,Moderate
Girl,0,School,Non Government,0,1,Low,Rich,Wifi,4G,1-3,No,Mobile,High
Boy,0,School,Government,0,1,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
Girl,1,College,Non Government,0,0,Low,Mid,Mobile Data,3G,3-6,Yes,Mobile,Low
Girl,1,School,Non Government,0,1,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate
Boy,1,College,Government,0,1,Low,Mid,Wifi,4G,3-6,No,Mobile,Moderate
Boy,1,School,Non Government,0,1,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate
Girl,0,School,Non Government,0,1,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate
Boy,2,University,Non Government,1,1,Low,Mid,Wifi,4G,3-6,No,Computer,Moderate
Girl,0,School,Non Government,0,1,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate
Girl,1,College,Non Government,0,0,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Low
Boy,2,University,Non Government,1,1,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate
Girl,1,College,Non Government,0,1,Low,Mid,Wifi,4G,1-3,No,Mobile,Moderate
Girl,2,University,Non Government,1,1,Low,Mid,Wifi,3G,3-6,Yes,Mobile,Moderate
Girl,2,College,Government,1,1,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate
Girl,0,School,Non Government,0,1,Low,Poor,Mobile Data,3G,1-3,No,Mobile,High
Girl,2,University,Government,0,0,Low,Poor,Mobile Data,4G,1-3,No,Mobile,Low
Girl,1,School,Government,0,1,Low,Mid,Wifi,3G,1-3,No,Mobile,Low
Boy,2,University,Non Government,0,1,Low,Mid,Wifi,4G,3-6,Yes,Computer,Moderate
Girl,2,University,Non Government,1,1,Low,Mid,Wifi,4G,1-3,Yes,Mobile,Moderate
Boy,2,University,Non Government,1,1,Low,Mid,Wifi,3G,3-6,Yes,Computer,Low
Boy,2,University,Non Government,1,1,Low,Mid,Wifi,4G,1-3,No,Computer,Moderate
Girl,0,School,Non Government,0,1,Low,Poor,Mobile Data,4G,1-3,No,Mobile,Moderate
Boy,2,University,Non Government,1,1,High,Mid,Mobile Data,3G,3-6,Yes,Mobile,Moderate
Boy,2,University,Government,1,0,Low,Poor,Mobile Data,4G,1-3,No,Mobile,Moderate
Boy,0,School,Non Government,0,1,Low,Poor,Mobile Data,4G,1-3,No,Mobile,Low
Boy,2,University,Government,0,1,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
Girl,1,University,Non Government,1,1,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Low
Girl,1,School,Non Government,0,0,High,Mid,Mobile Data,3G,0,No,Mobile,Low
Boy,1,School,Government,0,0,Low,Poor,Mobile Data,3G,0,No,Mobile,Low
Boy,2,University,Non Government,0,1,Low,Mid,Wifi,4G,3-6,No,Mobile,Moderate
Boy,2,College,Government,0,0,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
Girl,1,College,Non Government,0,1,Low,Mid,Mobile Data,3G,1-3,Yes,Mobile,Moderate
Boy,1,School,Non Government,1,1,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate
Boy,2,University,Government,0,0,Low,Mid,Mobile Data,4G,1-3,No,Mobile,High
Girl,0,School,Government,0,0,Low,Mid,Mobile Data,3G,0,No,Mobile,Low
Girl,1,School,Government,0,1,Low,Mid,Wifi,4G,1-3,No,Mobile,Low
Boy,2,College,Government,0,0,High,Poor,Mobile Data,3G,1-3,Yes,Mobile,Low
Girl,1,College,Government,0,0,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
Girl,1,School,Non Government,0,1,Low,Poor,Mobile Data,3G,1-3,No,Mobile,Low
Girl,0,School,Non Government,0,1,Low,Mid,Mobile Data,2G,1-3,No,Mobile,Low
Girl,2,College,Government,0,0,High,Mid,Mobile Data,4G,0,No,Mobile,Low
