Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
Boy,23,2,Non Government,No,Yes,Low,Mid,Wifi,4G,3-6,No,Tab,2
Girl,23,2,Non Government,No,Yes,High,Mid,Mobile Data,4G,1-3,Yes,Mobile,2
Girl,18,0,Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,2
Girl,13,1,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,2
Girl,18,1,Non Government,No,Yes,Low,Poor,Mobile Data,3G,0,No,Mobile,1
Boy,13,1,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1-3,No,Mobile,1
Boy,13,1,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,1
Boy,13,1,Non Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,2
Boy,18,0,Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,1
Boy,13,1,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,2
Girl,18,2,Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,1
Girl,18,0,Non Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,1
Boy,13,1,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,2
Girl,18,0,Non Government,No,No,Low,Mid,Wifi,4G,1-3,No,Mobile,1
Girl,13,1,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1-3,No,Mobile,2
Boy,13,1,Non Government,No,Yes,High,Poor,Wifi,4G,1-3,No,Mobile,1
Girl,28,2,Government,Yes,Yes,Low,Poor,Mobile Data,4G,0,No,Computer,1
Girl,23,2,Government,No,No,Low,Mid,Wifi,4G,1-3,No,Mobile,1
Girl,18,0,Non Government,No,Yes,High,Mid,Wifi,4G,1-3,No,Mobile,1
Girl,18,0,Non Government,No,Yes,High,Mid,Wifi,4G,3-6,No,Mobile,2
Girl,8,1,Non Government,No,Yes,Low,Rich,Wifi,4G,1-3,No,Mobile,0
Boy,8,1,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,1
Girl,18,0,Non Government,No,No,Low,Mid,Mobile Data,3G,3-6,Yes,Mobile,1
Girl,13,1,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,2
Boy,18,0,Government,No,Yes,Low,Mid,Wifi,4G,3-6,No,Mobile,2
Boy,13,1,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,2
Girl,3,1,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,2
Boy,28,2,Non Government,Yes,Yes,Low,Mid,Wifi,4G,3-6,No,Computer,2
Girl,8,1,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,2
Girl,18,0,Non Government,No,No,Low,Mid,Mobile Data,4G,1-3,No,Mobile,1
Boy,23,2,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,2
Girl,18,0,Non Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,2
Girl,23,2,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3-6,Yes,Mobile,2
Girl,23,0,Government,Yes,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,2
Girl,8,1,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1-3,No,Mobile,0
Girl,28,2,Government,No,No,Low,Poor,Mobile Data,4G,1-3,No,Mobile,1
Girl,13,1,Government,No,Yes,Low,Mid,Wifi,3G,1-3,No,Mobile,1
Boy,23,2,Non Government,No,Yes,Low,Mid,Wifi,4G,3-6,Yes,Computer,2
Girl,23,2,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1-3,Yes,Mobile,2
Boy,23,2,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3-6,Yes,Computer,1
Boy,23,2,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1-3,No,Computer,2
Girl,3,1,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1-3,No,Mobile,2
Boy,23,2,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3-6,Yes,Mobile,2
Boy,28,2,Government,Yes,No,Low,Poor,Mobile Data,4G,1-3,No,Mobile,2
Boy,3,1,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1-3,No,Mobile,1
Boy,23,2,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,1
Girl,18,2,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,1
Girl,13,1,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,1
Boy,18,1,Government,No,No,Low,Poor,Mobile Data,3G,0,No,Mobile,1
Boy,23,2,Non Government,No,Yes,Low,Mid,Wifi,4G,3-6,No,Mobile,2
Boy,23,0,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,1
Girl,18,0,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,Yes,Mobile,2
Boy,13,1,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,2
Boy,28,2,Government,No,No,Low,Mid,Mobile Data,4G,1-3,No,Mobile,0
Girl,8,1,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,1
Girl,13,1,Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,1
Boy,23,0,Government,No,No,High,Poor,Mobile Data,3G,1-3,Yes,Mobile,1
Girl,18,0,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,1
Girl,13,1,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1-3,No,Mobile,1
Girl,8,1,Non Government,No,Yes,Low,Mid,Mobile Data,2G,1-3,No,Mobile,1
Girl,23,0,Government,No,No,High,Mid,Mobile Data,4G,0,No,Mobile,1
Girl,13,1,Non Government,No,Yes,Low,Mid,Mobile Data,4G,3-6,No,Mobile,2
Girl,13,1,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,1
Boy,13,1,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,0
Boy,13,1,Non Government,No,Yes,High,Mid,Wifi,4G,1-3,No,Mobile,2
Boy,28,2,Government,No,No,Low,Poor,Mobile Data,4G,0,No,Mobile,1
Boy,23,2,Non Government,No,No,Low,Mid,Mobile Data,4G,1-3,No,Mobile,2
Boy,23,2,Non Government,Yes,Yes,Low,Mid,Wifi,4G,3-6,Yes,Computer,2
Boy,23,2,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3-6,Yes,Computer,2
Boy,23,2,Non Government,Yes,Yes,High,Poor,Mobile Data,3G,1-3,Yes,Mobile,1
Girl,18,2,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1-3,No,Computer,2
Girl,13,1,Government,No,No,High,Poor,Mobile Data,2G,1-3,No,Mobile,1
Boy,23,2,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1-3,Yes,Mobile,2
Girl,13,1,Non Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Computer,2
Girl,18,0,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,1
Girl,3,1,Non Government,No,Yes,Low,Poor,Wifi,4G,1-3,No,Mobile,2
Boy,13,1,Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Computer,2
Girl,23,2,Non Government,No,Yes,Low,Mid,Wifi,3G,1-3,Yes,Mobile,0
Boy,13,1,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,1
Boy,23,2,Non Government,Yes,Yes,High,Poor,Mobile Data,3G,1-3,Yes,Mobile,2
Girl,18,0,Non Government,No,Yes,Low,Mid,Wifi,4G,3-6,No,Mobile,2
Boy,28,2,Government,Yes,Yes,Low,Mid,Wifi,4G,0,No,Computer,1
Boy,23,2,Non Government,Yes,Yes,High,Mid,Wifi,4G,3-6,Yes,Computer,1
Boy,18,0,Government,No,No,High,Poor,Mobile Data,3G,1-3,No,Mobile,2
Girl,23,2,Non Government,Yes,No,Low,Mid,Mobile Data,3G,1-3,Yes,Mobile,2
Girl,18,0,Non Government,No,Yes,High,Mid,Wifi,4G,3-6,No,Computer,2
Girl,18,1,Non Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,1
Girl,18,2,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1-3,Yes,Computer,2
Girl,23,2,Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,1
Boy,23,2,Non Government,Yes,Yes,Low,Rich,Wifi,4G,1-3,Yes,Computer,0
Boy,23,2,Government,Yes,No,High,Mid,Mobile Data,3G,1-3,No,Mobile,1
Boy,23,2,Non Government,Yes,No,High,Mid,Mobile Data,3G,3-6,Yes,Mobile,0
Boy,18,0,Government,No,Yes,Low,Poor,Mobile Data,4G,1-3,No,Mobile,1
Boy,23,2,Government,Yes,Yes,Low,Mid,Wifi,4G,3-6,No,Computer,1
Girl,23,2,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,2
Girl,13,1,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,2
Girl,18,0,Non Government,No,No,Low,Mid,Mobile Data,3G,1-3,No,Mobile,2
Boy,23,2,Government,No,No,Low,Poor,Mobile Data,3G,1-3,No,Mobile,1
Boy,23,2,Non Government,No,Yes,Low,Mid,Wifi,4G,3-6,No,Computer,2
Boy,23,2,Non Government,Yes,Yes,High,Poor,Wifi,3G,3-6,No,Computer,2
Girl,23,2,Non Government,No,Yes,High,Poor,Wifi,4G,3-6,No,Mobile,1
Girl,23,2,Government,No,No,Low,Mid,Mobile Data,2G,1-3,No,Mobile,1
Boy,18,0,Government,No,No,Low,Mid,Wifi,4G,1-3,No,Mobile,1
Boy,13,1,Non Government,No,Yes,Low,Rich,Mobile Data,4G,1-3,No,Mobile,0
Boy,8,1,Non Government,No,Yes,Low,Rich,Wifi,4G,1-3,No,Mobile,2
Boy,23,2,Non Government,Yes,Yes,Low,Mid,Wifi,4G,3-6,No,Computer,1
Boy,23,2,Government,Yes,Yes,Low,Mid,Mobile Data,3G,1-3,No,Computer,1
Boy,28,2,Government,Yes,Yes,Low,Rich,Wifi,4G,1-3,No,Computer,0
Boy,23,2,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,1-3,Yes,Computer,2
Boy,23,2,Non Government,Yes,Yes,Low,Mid,Wifi,3G,1-3,Yes,Mobile,1
Boy,18,2,Government,No,No,Low,Poor,Mobile Data,4G,1-3,No,Mobile,2
Boy,8,1,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,1
Girl,18,0,Government,No,No,High,Poor,Mobile Data,4G,0,No,Mobile,1
Boy,18,0,Government,Yes,Yes,Low,Mid,Mobile Data,4G,1-3,Yes,Mobile,1
Boy,23,2,Non Government,Yes,Yes,Low,Mid,Wifi,3G,1-3,Yes,Computer,2
